0,1,2,3,4,,Total
0,0.137051162,0,0.206129554,0,,0.343180716
0.066860815,0.362095856,0.231702813,0.362095856,0,,1.02275534
0.386829943,0.4939728,0.386829943,0.4939728,0.154752941,,1.916358427
0.609809728,0.716952586,0.919885895,0.723753712,0.348143062,,3.318544983
0.634911877,0.742054734,0.634911877,0.742054734,0.52074521,,3.274678432
0.746983498,0.854126356,0.746983498,0.854126356,0.563650165,,3.765869873
0.895158797,0.998616582,0.891604354,0.998616582,0.650640391,,4.434636707
1.046095361,1.2097301,0.997864205,1.105007062,0.702030871,,5.0607276
0.945882515,1.053025372,0.945882515,1.053025372,0.834215848,,4.832031623
1.03221126,1.139354118,1.03221126,1.139354118,0.93721126,,5.280342017
0.954091853,1.061234711,0.954091853,1.061234711,0.88575852,,4.916411648
0.867497035,0.974639892,0.867497035,0.974639892,0.824997035,,4.50927089
0.833364957,0.940507815,0.833364957,0.940507815,0.808364957,,4.356110502
0.673392103,0.78053496,0.673392103,0.78053496,0.673392103,,3.58124623
0.55039135,0.657534208,0.55039135,0.657534208,0.55039135,,2.966242467
0.416878154,0.524021011,0.416878154,0.524021011,0.416878154,,2.298676485
0.379479777,0.519955967,0.379479777,0.519955967,0.379479777,,2.178351265
0.283697012,0.424173203,0.283697012,0.424173203,0.283697012,,1.699437443
0.233157423,0.373633614,0.233157423,0.373633614,0.233157423,,1.446739497
0.233724684,0.340867541,0.233724684,0.340867541,0.233724684,,1.382909133
