Time,
6/20/2016 17:00,10.16130526
6/20/2016 18:00,9.188257005
6/20/2016 19:00,7.641605153
6/20/2016 20:00,5.067952966
6/20/2016 21:00,4.214205073
6/20/2016 22:00,4.017782779
6/20/2016 23:00,3.814480915
6/21/2016 0:00,3.736863077
6/21/2016 1:00,3.7206754
6/21/2016 2:00,3.673772642
6/21/2016 3:00,3.639321944
6/21/2016 4:00,3.632680845
6/21/2016 5:00,3.770898707
6/21/2016 6:00,4.096727599
6/21/2016 7:00,4.083860471
6/21/2016 8:00,4.941507674
6/21/2016 9:00,7.171406384
6/21/2016 10:00,7.773656605
6/21/2016 11:00,8.651738629
6/21/2016 12:00,9.853153896
6/21/2016 13:00,9.913162639
6/21/2016 14:00,10.03220997
6/21/2016 15:00,10.33141502
6/21/2016 16:00,10.45141614
6/21/2016 17:00,10.36275306
6/21/2016 18:00,9.657029657
6/21/2016 19:00,7.825110588
6/21/2016 20:00,6.52036742
6/21/2016 21:00,5.492393868
6/21/2016 22:00,5.797019393
6/21/2016 23:00,5.130798923
6/22/2016 0:00,4.88280578
6/22/2016 1:00,4.244927861
6/22/2016 2:00,3.781944277
6/22/2016 3:00,3.818485796
6/22/2016 4:00,3.840719241
6/22/2016 5:00,3.912644729
6/22/2016 6:00,4.382101649
6/22/2016 7:00,5.722682612
6/22/2016 8:00,7.186353538
6/22/2016 9:00,8.146488026
6/22/2016 10:00,8.153985835
6/22/2016 11:00,8.802238047
6/22/2016 12:00,9.018081313
6/22/2016 13:00,9.304198069
6/22/2016 14:00,10.22049391
6/22/2016 15:00,10.66833277
6/22/2016 16:00,10.42631848
6/22/2016 17:00,10.36991009
6/22/2016 18:00,10.20917657
6/22/2016 19:00,8.503215369
6/22/2016 20:00,7.183537131
6/22/2016 21:00,6.399897892
6/22/2016 22:00,5.832594926
6/22/2016 23:00,5.500660374
6/23/2016 0:00,5.014870249
6/23/2016 1:00,4.478538875
6/23/2016 2:00,4.309429529
6/23/2016 3:00,4.434693097
6/23/2016 4:00,4.477667231
6/23/2016 5:00,4.531881424
6/23/2016 6:00,5.033423072
6/23/2016 7:00,5.628915925
6/23/2016 8:00,6.907491325
6/23/2016 9:00,8.382004983
6/23/2016 10:00,8.8195158
6/23/2016 11:00,9.261957476
6/23/2016 12:00,9.129598683
6/23/2016 13:00,9.874356106
6/23/2016 14:00,10.47539626
6/23/2016 15:00,10.1888087
6/23/2016 16:00,10.05039548
6/23/2016 17:00,10.05665206
6/23/2016 18:00,10.10295605
6/23/2016 19:00,8.400060353
6/23/2016 20:00,7.336348807
6/23/2016 21:00,6.834686455
6/23/2016 22:00,6.023920821
6/23/2016 23:00,5.650583173
6/24/2016 0:00,5.201837923
6/24/2016 1:00,4.533452458
6/24/2016 2:00,4.357369959
6/24/2016 3:00,3.865771542
6/24/2016 4:00,3.915462668
6/24/2016 5:00,4.010203482
6/24/2016 6:00,5.324506812
6/24/2016 7:00,5.983489434
6/24/2016 8:00,6.786313065
6/24/2016 9:00,8.406923334
6/24/2016 10:00,8.671063749
6/24/2016 11:00,9.544901873
6/24/2016 12:00,10.03377347
6/24/2016 13:00,9.893301992
6/24/2016 14:00,9.836695995
6/24/2016 15:00,9.961941773
6/24/2016 16:00,10.03167269
6/24/2016 17:00,9.729206708
6/24/2016 18:00,9.931009307
6/24/2016 19:00,8.285740151
6/24/2016 20:00,6.872795984
6/24/2016 21:00,6.160631569
6/24/2016 22:00,5.53509032
6/24/2016 23:00,4.711963524
6/25/2016 0:00,4.536924922
6/25/2016 1:00,3.979238265
6/25/2016 2:00,3.69218983
6/25/2016 3:00,3.745215869
6/25/2016 4:00,3.975590629
6/25/2016 5:00,4.145996247
6/25/2016 6:00,4.964511191
6/25/2016 7:00,5.840311508
6/25/2016 8:00,6.67304525
6/25/2016 9:00,7.432258659
6/25/2016 10:00,8.236669678
6/25/2016 11:00,8.098883425
6/25/2016 12:00,8.671302381
6/25/2016 13:00,8.606992579
6/25/2016 14:00,9.169523442
6/25/2016 15:00,9.933937287
6/25/2016 16:00,8.727268848
6/25/2016 17:00,9.538161805
6/25/2016 18:00,8.486924341
6/25/2016 19:00,8.157249853
6/25/2016 20:00,6.932939433
6/25/2016 21:00,6.256948249
6/25/2016 22:00,5.784218675
6/25/2016 23:00,5.113801863
6/26/2016 0:00,4.548256297
6/26/2016 1:00,3.955703873
6/26/2016 2:00,3.676595703
6/26/2016 3:00,3.707975396
6/26/2016 4:00,3.729887674
6/26/2016 5:00,3.625345058
6/26/2016 6:00,3.59738507
6/26/2016 7:00,4.424554732
6/26/2016 8:00,5.989811403
6/26/2016 9:00,6.595780925
6/26/2016 10:00,6.958724011
6/26/2016 11:00,7.899088226
6/26/2016 12:00,7.634155558
6/26/2016 13:00,8.73286051
6/26/2016 14:00,9.284740786
6/26/2016 15:00,9.471642199
6/26/2016 16:00,9.015368188
6/26/2016 17:00,6.095885847
6/26/2016 18:00,6.11649586
6/26/2016 19:00,5.882067208
6/26/2016 20:00,5.219457172
6/26/2016 21:00,4.708217113
6/26/2016 22:00,4.715611977
6/26/2016 23:00,4.43754711
6/27/2016 0:00,4.388735036
6/27/2016 1:00,3.949602363
6/27/2016 2:00,3.892945492
6/27/2016 3:00,3.82555139
6/27/2016 4:00,3.705953007
6/27/2016 5:00,3.741013764
6/27/2016 6:00,4.334681073
6/27/2016 7:00,5.112695047
6/27/2016 8:00,5.976871953
6/27/2016 9:00,6.413027715
6/27/2016 10:00,7.313064642
6/27/2016 11:00,8.24844282
6/27/2016 12:00,7.563988837
6/27/2016 13:00,8.767255554
6/27/2016 14:00,9.668090008
6/27/2016 15:00,9.456489643
6/27/2016 16:00,9.570145466
6/27/2016 17:00,8.714711775
6/27/2016 18:00,8.242730571
6/27/2016 19:00,7.573899487
6/27/2016 20:00,5.989849495
6/27/2016 21:00,5.528556722
6/27/2016 22:00,5.022704671
6/27/2016 23:00,4.060705214
6/28/2016 0:00,3.85598778
6/28/2016 1:00,3.729391841
6/28/2016 2:00,3.787916521
6/28/2016 3:00,3.736863077
6/28/2016 4:00,3.675017848
6/28/2016 5:00,3.832743936
6/28/2016 6:00,4.157941688
6/28/2016 7:00,4.887153836
6/28/2016 8:00,6.040790136
6/28/2016 9:00,7.562182518
6/28/2016 10:00,8.649313287
6/28/2016 11:00,9.209386888
6/28/2016 12:00,9.946454852
6/28/2016 13:00,10.21681752
6/28/2016 14:00,10.57472705
6/28/2016 15:00,9.708803426
6/28/2016 16:00,10.10278186
6/28/2016 17:00,9.67697461
6/28/2016 18:00,8.59180213
6/28/2016 19:00,7.703199456
6/28/2016 20:00,5.915759741
6/28/2016 21:00,5.758681159
6/28/2016 22:00,4.621464031
6/28/2016 23:00,4.563935514
6/29/2016 0:00,4.525583173
6/29/2016 1:00,4.14136408
6/29/2016 2:00,3.868805693
6/29/2016 3:00,3.848516545
6/29/2016 4:00,3.781301438
6/29/2016 5:00,3.715694576
6/29/2016 6:00,4.326823503
6/29/2016 7:00,5.594564572
6/29/2016 8:00,7.102915263
6/29/2016 9:00,7.693342079
6/29/2016 10:00,8.752968404
6/29/2016 11:00,8.935157099
6/29/2016 12:00,9.812070543
6/29/2016 13:00,10.55175746
6/29/2016 14:00,10.55670253
6/29/2016 15:00,10.80444949
6/29/2016 16:00,10.77492839
6/29/2016 17:00,10.38389519
6/29/2016 18:00,9.0680614
6/29/2016 19:00,7.666447011
6/29/2016 20:00,6.132201443
6/29/2016 21:00,5.136478723
6/29/2016 22:00,4.845922781
6/29/2016 23:00,3.795387757
6/30/2016 0:00,3.727731567
