Time,Average kW/sqm
6/26/2016 0:00,0.018364713
6/26/2016 1:00,0.018043034
6/26/2016 2:00,0.017964171
6/26/2016 3:00,0.017719281
6/26/2016 4:00,0.017829274
6/26/2016 5:00,0.017727582
6/26/2016 6:00,0.017289685
6/26/2016 7:00,0.017223274
6/26/2016 8:00,0.017111205
6/26/2016 9:00,0.017335342
6/26/2016 10:00,0.017586459
6/26/2016 11:00,0.018781857
6/26/2016 12:00,0.018536966
6/26/2016 13:00,0.018580548
6/26/2016 14:00,0.019045425
6/26/2016 15:00,0.019414836
6/26/2016 16:00,0.019937823
6/26/2016 17:00,0.01928824
6/26/2016 18:00,0.019840282
6/26/2016 19:00,0.02004159
6/26/2016 20:00,0.019894241
6/26/2016 21:00,0.019443891
6/26/2016 22:00,0.019161644
6/26/2016 23:00,0.018829589
6/27/2016 0:00,0.018597151
6/27/2016 1:00,0.01801398
6/27/2016 2:00,0.017744185
6/27/2016 3:00,0.018285849
6/27/2016 4:00,0.018111521
6/27/2016 5:00,0.018705069
6/27/2016 6:00,0.019008069
6/27/2016 7:00,0.01952898
6/27/2016 8:00,0.021390563
6/27/2016 9:00,0.021313775
6/27/2016 10:00,0.022785194
6/27/2016 11:00,0.024972605
6/27/2016 12:00,0.023773057
6/27/2016 13:00,0.025124106
6/27/2016 14:00,0.026342332
6/27/2016 15:00,0.026066311
6/27/2016 16:00,0.025128256
6/27/2016 17:00,0.024887516
6/27/2016 18:00,0.022957447
6/27/2016 19:00,0.022542379
6/27/2016 20:00,0.020388172
6/27/2016 21:00,0.019977254
6/27/2016 22:00,0.019433514
6/27/2016 23:00,0.02001046
6/28/2016 0:00,0.019279939
6/28/2016 1:00,0.018646959
6/28/2016 2:00,0.018939583
6/28/2016 3:00,0.018684315
6/28/2016 4:00,0.018375089
6/28/2016 5:00,0.01916372
6/28/2016 6:00,0.020730604
6/28/2016 7:00,0.020778337
6/28/2016 8:00,0.022199947
6/28/2016 9:00,0.023704571
6/28/2016 10:00,0.025601434
6/28/2016 11:00,0.025943866
6/28/2016 12:00,0.025669921
6/28/2016 13:00,0.026062161
6/28/2016 14:00,0.025323338
6/28/2016 15:00,0.025105427
6/28/2016 16:00,0.024221331
6/28/2016 17:00,0.023337235
6/28/2016 18:00,0.023086118
6/28/2016 19:00,0.02279557
6/28/2016 20:00,0.020035364
6/28/2016 21:00,0.020081021
6/28/2016 22:00,0.019705384
6/28/2016 23:00,0.019431439
6/29/2016 0:00,0.019248809
6/29/2016 1:00,0.018927131
6/29/2016 2:00,0.018906377
6/29/2016 3:00,0.019242583
6/29/2016 4:00,0.018559795
6/29/2016 5:00,0.018578473
6/29/2016 6:00,0.020398549
6/29/2016 7:00,0.020562501
6/29/2016 8:00,0.023243845
6/29/2016 9:00,0.024024174
6/29/2016 10:00,0.0259999
6/29/2016 11:00,0.026587223
6/29/2016 12:00,0.027014743
6/29/2016 13:00,0.026906825
6/29/2016 14:00,0.026838339
6/29/2016 15:00,0.027797148
6/29/2016 16:00,0.026257243
6/29/2016 17:00,0.025599359
6/29/2016 18:00,0.024144544
6/29/2016 19:00,0.022998954
6/29/2016 20:00,0.019875562
6/29/2016 21:00,0.019300692
6/29/2016 22:00,0.019782172
6/29/2016 23:00,0.018976939
6/30/2016 0:00,0.018638658
6/30/2016 1:00,0.017810596
6/30/2016 2:00,0.018568096
6/30/2016 3:00,0.018202836
6/30/2016 4:00,0.018844117
6/30/2016 5:00,0.019829905
6/30/2016 6:00,0.020657967
6/30/2016 7:00,0.020348741
6/30/2016 8:00,0.021876193
6/30/2016 9:00,0.023945311
6/30/2016 10:00,0.025468613
6/30/2016 11:00,0.024956003
6/30/2016 12:00,0.026111969
6/30/2016 13:00,0.025109578
6/30/2016 14:00,0.025686524
6/30/2016 15:00,0.025651243
6/30/2016 16:00,0.025921037
6/30/2016 17:00,0.02409266
6/30/2016 18:00,0.022905564
6/30/2016 19:00,0.023025933
6/30/2016 20:00,0.020062343
6/30/2016 21:00,0.019601617
6/30/2016 22:00,0.019780097
6/30/2016 23:00,0.019537281
7/1/2016 0:00,0.019410686
7/1/2016 1:00,0.019153343
7/1/2016 2:00,0.018676014
7/1/2016 3:00,0.018788083
7/1/2016 4:00,0.018997692
7/1/2016 5:00,0.019705384
7/1/2016 6:00,0.021058508
7/1/2016 7:00,0.021019077
7/1/2016 8:00,0.022540303
7/1/2016 9:00,0.023393269
7/1/2016 10:00,0.024385283
7/1/2016 11:00,0.026091215
7/1/2016 12:00,0.026130647
7/1/2016 13:00,0.025290133
7/1/2016 14:00,0.025489366
7/1/2016 15:00,0.025061845
7/1/2016 16:00,0.024136242
7/1/2016 17:00,0.023492886
7/1/2016 18:00,0.02225183
7/1/2016 19:00,0.021685262
7/1/2016 20:00,0.019939898
7/1/2016 21:00,0.019410686
7/1/2016 22:00,0.018781857
7/1/2016 23:00,0.017901911
7/2/2016 0:00,0.017559479
7/2/2016 1:00,0.017723431
7/2/2016 2:00,0.018267171
7/2/2016 3:00,0.017841726
7/2/2016 4:00,0.017561555
7/2/2016 5:00,0.018136425
7/2/2016 6:00,0.017316664
7/2/2016 7:00,0.016833109
7/2/2016 8:00,0.017165164
7/2/2016 9:00,0.017090452
7/2/2016 10:00,0.017704753
7/2/2016 11:00,0.018254719
7/2/2016 12:00,0.019028822
7/2/2016 13:00,0.017858329
7/2/2016 14:00,0.018399993
7/2/2016 15:00,0.01829
7/2/2016 16:00,0.018373014
7/2/2016 17:00,0.01831698
7/2/2016 18:00,0.018082466
7/2/2016 19:00,0.017920589
7/2/2016 20:00,0.017916438
7/2/2016 21:00,0.018011904
7/2/2016 22:00,0.017571931
7/2/2016 23:00,0.018223589
7/3/2016 0:00,0.017993226
7/3/2016 1:00,0.017592685
7/3/2016 2:00,0.017820973
7/3/2016 3:00,0.017333267
7/3/2016 4:00,0.017455712
7/3/2016 5:00,0.017650794
7/3/2016 6:00,0.016577842
7/3/2016 7:00,0.016687835
7/3/2016 8:00,0.016880842
7/3/2016 9:00,0.016920274
7/3/2016 10:00,0.017297986
7/3/2016 11:00,0.017312513
7/3/2016 12:00,0.018117747
7/3/2016 13:00,0.018213212
7/3/2016 14:00,0.018319055
7/3/2016 15:00,0.018976939
7/3/2016 16:00,0.019425213
7/3/2016 17:00,0.019126364
7/3/2016 18:00,0.018566021
7/3/2016 19:00,0.018194534
7/3/2016 20:00,0.018414521
7/3/2016 21:00,0.018690541
7/3/2016 22:00,0.018487158
7/3/2016 23:00,0.018551493
7/4/2016 0:00,0.017596836
7/4/2016 1:00,0.017870781
7/4/2016 2:00,0.017735884
7/4/2016 3:00,0.017681925
7/4/2016 4:00,0.017713055
7/4/2016 5:00,0.01820076
7/4/2016 6:00,0.017503445
7/4/2016 7:00,0.017273082
7/4/2016 8:00,0.017486842
7/4/2016 9:00,0.017449486
7/4/2016 10:00,0.018460178
7/4/2016 11:00,0.018603377
7/4/2016 12:00,0.020062343
7/4/2016 13:00,0.019165795
7/4/2016 14:00,0.019794624
7/4/2016 15:00,0.020234597
7/4/2016 16:00,0.020321761
7/4/2016 17:00,0.019609918
7/4/2016 18:00,0.020078946
7/4/2016 19:00,0.019207302
7/4/2016 20:00,0.019279939
7/4/2016 21:00,0.019676329
7/4/2016 22:00,0.01955596
7/4/2016 23:00,0.01976972
7/5/2016 0:00,0.018881473
7/5/2016 1:00,0.019389932
7/5/2016 2:00,0.018734124
7/5/2016 3:00,0.019049576
